Golfer,Odds,DK,Site Name,Site id,DK % +/-,FedEx,Events,Drive Acc,100-125,175-200,Drive Acc(2019),100-125(2019),175-200(2019),2019,2020,2019 top 30,2020 top 30,ranking,Proj,MaxPer,Owner
Adam Long,195,6200,Adam Long,13609668,-8%,42,4,62,180,158,46,114,84,1,1,0,0,2,,,
Rikuya Hoshino,204,6100,Rikuya Hoshino,13609671,-3%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Seungsu Han,213,6100,Seungsu Han,13609672,-4%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Mikumu Horikawa,259,6100,Mikumu Horikawa,13609675,-6%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Satoshi Kodaira,271,6000,Satoshi Kodaira,13609676,0%,#N/A,#N/A,62,221,214,34,174,54,2,1,0,0,3,,,
Max Homa,300,6000,Max Homa,13609679,-1%,169,3,132,126,86,159,71,62,2,0,0,0,2,,,
Sang-hyun Park,300,6000,Sang-hyun Park,13609678,-1%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Tomoharu Otsuki,374,6000,Tomoharu Otsuki,13609681,-4%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Yosuke Asaji,389,6000,Yosuke Asaji,13609680,-5%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Jinichiro Kozuma,447,6000,Jinichiro Kozuma,13609677,-7%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
